 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Marcos Kitromilides","Lafayette","Sr.","F","18","8","1","17"
"","Daniel Nimick","Western Mich.","Sr.","D","21","8","1","17"
"","Joshua Torres","UIC","So.","-","16","8","1","17"
"","Forster Ajago","Dayton","Sr.","F","17","7","3","17"
"","Liam Butts","Penn St.","Sr.","F","13","7","3","17"
"","Logan Farrington","Milwaukee","So.","F","16","7","3","17"
"","DJ Hooks","Butler","Jr.","D","19","7","3","17"
"","Malachi Jones","Lipscomb","Fr.","F","17","7","3","17"
"","Jack Panayotou","Georgetown","Fr.","M","19","7","3","17"
"","Lukas Sunesson","Marquette","Sr.","F","18","7","3","17"
"","Cam Cilley","Stanford","Sr.","M","20","6","5","17"
"","Omari Cotterell","La Salle","Sr.","F","17","6","5","17"
"","Jared Juleau","Marist","Jr.","M","15","6","5","17"
"","Noah Lopez","UC Riverside","So.","F","20","6","5","17"
"","Jannis Schmidt","Cleveland St.","Sr.","M","19","6","5","17"
"","Mason Tunbridge","San Diego","Sr.","M","19","6","5","17"
"","Brage Aasen","Quinnipiac","Sr.","F","12","5","7","17"
"","Mike Melaragni","Western Mich.","Sr.","F","20","5","7","17"
"","Samory Powder","Detroit Mercy","Jr.","F","16","5","7","17"
"","Aymane Sordo","Gardner-Webb","Jr.","M","16","5","7","17"
"","Ousmane Sylla","Clemson","Jr.","M","18","5","7","17"
"","Marlon Tabora","Georgetown","Jr.","F","21","5","7","17"
"","Eric Conerty","Western Mich.","Sr.","F","21","3","11","17"
"","Willem Ebbinge","Harvard","Jr.","M","16","3","11","17"
"138","Alberto Cruz","Memphis","Fr.","F","18","8","0","16"
"","Sam Donnellan","Delaware","Fr.","F","17","8","0","16"
"","Thomas Storødegård","Siena","So.","F","17","8","0","16"
"","Patrick Agyemang","Rhode Island","Sr.","F","14","7","2","16"
"","Davi Alves","FGCU","Sr.","M","15","7","2","16"
"","Ryan Clare","Princeton","Sr.","D","16","7","2","16"
"","Chase Gilley","Robert Morris","Jr.","F","16","7","2","16"
"","Max Hamelink","San Francisco","Jr.","M","17","7","2","16"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","7","2","16"
